,FDX,MSFT,NVDA,INTC,AMD,JPM,T,AAPL,AMZN,GS,SP50
FDX,1.0,0.3800322974274633,0.27535001131761877,0.38162759941676383,0.34050279906808134,0.4747553928085974,0.27436466599578946,0.2848251017947365,0.31297299383204946,0.4363231745074893,0.6227022980446272
MSFT,0.3800322974274633,1.0,0.38848610114062226,0.5013831234163512,0.36564466236791926,0.3534673300353642,0.2664262054140272,0.396875976116474,0.38709986079978326,0.4192708221564448,0.6158749256187475
NVDA,0.27535001131761877,0.38848610114062226,1.0,0.4828694568796594,0.486990552238892,0.28672681611396006,0.195296285427523,0.3600019368524244,0.3528244786010175,0.3856087012853823,0.4888189143054543
INTC,0.38162759941676383,0.5013831234163512,0.4828694568796594,1.0,0.48308711846583974,0.4343922245339024,0.27498642040891375,0.4391333710613259,0.38353872682277024,0.4488174027171499,0.6221786615281175
AMD,0.34050279906808134,0.36564466236791926,0.486990552238892,0.48308711846583974,1.0,0.3518183535165494,0.22072484210836646,0.36788796112140654,0.3125600906050542,0.3986439846901699,0.5168601264842241
JPM,0.4747553928085974,0.3534673300353642,0.28672681611396006,0.4343922245339024,0.3518183535165494,1.0,0.38705766075197556,0.30693315595000914,0.3008993258363411,0.6901233833988614,0.7020953340732542
T,0.27436466599578946,0.2664262054140272,0.195296285427523,0.27498642040891375,0.22072484210836646,0.38705766075197556,1.0,0.21526086501180702,0.12261719831716658,0.3629773496389115,0.5230884637695952
AAPL,0.2848251017947365,0.396875976116474,0.3600019368524244,0.4391333710613259,0.36788796112140654,0.30693315595000914,0.21526086501180702,1.0,0.33517507222135784,0.35617525032194414,0.519603322675409
AMZN,0.31297299383204946,0.38709986079978326,0.3528244786010175,0.38353872682277024,0.3125600906050542,0.3008993258363411,0.12261719831716658,0.33517507222135784,1.0,0.2919799929104363,0.43937224271064146
GS,0.4363231745074893,0.4192708221564448,0.3856087012853823,0.4488174027171499,0.3986439846901699,0.6901233833988614,0.3629773496389115,0.35617525032194414,0.2919799929104363,1.0,0.7133917245760365
SP50,0.6227022980446272,0.6158749256187475,0.4888189143054543,0.6221786615281175,0.5168601264842241,0.7020953340732542,0.5230884637695952,0.519603322675409,0.43937224271064146,0.7133917245760365,1.0
